7zip	25.01+dfsg-1~deb13u1
libltdl7:amd64	2.5.4-4
liblua5.4-0:amd64	5.4.7-1+b2
libluajit-5.1-2:amd64	2.1.0+openresty20250117-2
libluajit-5.1-common	2.1.0+openresty20250117-2
liblwp-mediatypes-perl	6.04-2
liblz4-1:amd64	1.10.0-4
liblz4-1:i386	1.10.0-4
liblzf1:amd64	3.6-4+b3
liblzma-dev:amd64	5.8.1-1
liblzma5:amd64	5.8.1-1
liblzma5:i386	5.8.1-1
liblzo2-2:amd64	2.10-3+b1
libmagic-mgc	1:5.46-5
libmagic1:amd64	1:5.44-3
libmagic1t64:amd64	1:5.46-5
libmagickcore-7.q16-10-extra:amd64	8:7.1.1.43+dfsg1-1+deb13u3
libmagickcore-7.q16-10:amd64	8:7.1.1.43+dfsg1-1+deb13u3
libmagickwand-7.q16-10:amd64	8:7.1.1.43+dfsg1-1+deb13u3
libmariadb-dev	1:11.8.3-0+deb13u1
libmariadb-dev-compat	1:11.8.3-0+deb13u1
libmariadb3:amd64	1:11.8.3-0+deb13u1
libmaxminddb0:amd64	1.12.2-1
libmbedcrypto16:amd64	3.6.4-2
libmbedtls21:amd64	3.6.4-2
libmbedx509-7:amd64	3.6.4-2
libmd0:amd64	1.1.0-2+b1
libmd0:i386	1.1.0-2+b1
libmnl0:amd64	1.0.5-3
libmount1:amd64	2.41-5
libmount1:i386	2.41-5
libmp3lame0:amd64	3.100-6+b3
libmp3lame0:i386	3.100-6+b3
libmpc3:amd64	1.3.1-1+b3
libmpfr6:amd64	4.2.2-1
libmpg123-0t64:amd64	1.32.10-1
libmpg123-0t64:i386	1.32.10-1
libmysofa1:amd64	1.3.3+dfsg-1
libncurses-dev:amd64	6.5+20250216-2
libncurses5:i386	6.4-4
libncurses6:amd64	6.5+20250216-2
libncursesw6:amd64	6.5+20250216-2
libnetfilter-conntrack3:amd64	1.1.0-1
libnetpbm11t64:amd64	2:11.10.02-1
libnettle8t64:amd64	3.10.1-1
libnettle8t64:i386	3.10.1-1
libnewt0.52:amd64	0.52.25-1
libnfnetlink0:amd64	1.0.2-3
libnftables1:amd64	1.1.3-1
libnftnl11:amd64	1.2.9-1
libnghttp2-14:amd64	1.64.0-1.1
libnghttp2-14:i386	1.64.0-1.1
libnghttp3-9:amd64	1.8.0-1
libnghttp3-9:i386	1.8.0-1
libngtcp2-16:amd64	1.11.0-1
libngtcp2-16:i386	1.11.0-1
libngtcp2-crypto-gnutls8:amd64	1.11.0-1
libngtcp2-crypto-gnutls8:i386	1.11.0-1
libnorm1t64:amd64	1.5.9+dfsg-3.1+b2
libnpth0t64:amd64	1.8-3
libnsl2:amd64	1.3.0-3+b3
libnspr4:amd64	2:4.36-1
libnss-systemd:amd64	257.9-1~deb13u1
libnss3:amd64	2:3.110-1
libnuma1:amd64	2.0.19-1
libobjc-12-dev:amd64	12.4.0-5
libobjc-14-dev:amd64	14.2.0-19
libobjc4:amd64	14.2.0-19
libogg0:amd64	1.3.5-3+b2
libogg0:i386	1.3.5-3+b2
libonig5:amd64	6.9.9-1+b1
libopenal-data	1:1.24.2-1
libopenal1:amd64	1:1.24.2-1
libopenexr-3-1-30:amd64	3.1.13-2
libopenjp2-7:amd64	2.5.3-2.1~deb13u1
libopenmpt0t64:amd64	0.7.13-1+b1
libopentracing-c-wrapper0t64:amd64	1.1.3-3.1+b1
libopentracing1:amd64	1.6.0-4+b2
libopus0:amd64	1.5.2-2
libopus0:i386	1.5.2-2
libp11-kit0:amd64	0.25.5-3
libp11-kit0:i386	0.25.5-3
libpackagekit-glib2-18:amd64	1.3.1-1
libpam-modules-bin	1.7.0-5
libpam-modules:amd64	1.7.0-5
libpam-runtime	1.7.0-5
libpam-systemd:amd64	257.9-1~deb13u1
libpam0g:amd64	1.7.0-5
libpango-1.0-0:amd64	1.56.3-1
libpango-1.0-0:i386	1.56.3-1
libpangocairo-1.0-0:amd64	1.56.3-1
libpangocairo-1.0-0:i386	1.56.3-1
libpangoft2-1.0-0:amd64	1.56.3-1
libpangoft2-1.0-0:i386	1.56.3-1
libpaper-utils	2.2.5-0.3+b2
libpaper1:amd64	1.1.29
libpaper2:amd64	2.2.5-0.3+b2
libpathplan4:amd64	2.42.4-3
libpcap0.8t64:amd64	1.10.5-2
libpci3:amd64	1:3.13.0-2
libpciaccess0:amd64	0.17-3+b3
libpciaccess0:i386	0.17-3+b3
libpcre2-8-0:amd64	10.46-1~deb13u1
libpcre2-8-0:i386	10.46-1~deb13u1
